iso3,country,exposed value million US$,earthquake,cyclones,tsunami,floods,multi-hazard,v,risk_to_assets,avg_prod_k,floods_RI
ALB,Albania,"40,459.70",1.15,0.0,---,0.69,1.84,0.33813000000000004,0.00842,0.18528,0.1344001783250936
ARG,Argentina,"1,380,560.00",0.80,0.0,---,0.47,1.27,0.32297,0.0011099999999999999,0.26955,0.012750330996008127
ARM,Armenia,"22,895.20",1.98,0.0,---,0.77,2.75,0.12440999999999999,0.0009199999999999999,0.3667,0.020166086573842605
AUS,Australia,"6,616,530.00",0.01,0.18,0.01,0.51,0.71,0.44688,0.00054,0.2736,0.00441658657923003
AUT,Austria,"1,801,470.00",0.29,0.0,---,0.34,0.63,0.16005,0.0001,0.23228000000000001,0.0026898775121236814
AZE,Azerbaijan,"192,784.00",1.46,0.0,---,0.15,1.61,0.12435999999999998,0.0007099999999999999,0.59822,0.009543698412075908
BGD,Bangladesh,"381,432.00",0.33,1.28,0.01,6.14,7.77,0.37998000000000004,0.00488,0.28970999999999997,0.044329782192573525
BLR,Belarus,"229,400.00",---,0.0,---,1.72,1.72,0.26211999999999996,0.00131,0.38644,0.012932695818429407
BEL,Belgium,"1,980,550.00",0.10,0.0,---,0.05,0.15,0.14729,0.00033999999999999997,0.21669000000000002,0.01065287387701359
BEN,Benin,"21,971.90",0.01,0.0,---,1.09,1.1,0.60288,0.00852,0.33025,0.042792325829206786
BOL,Bolivia (Plurinational State of),"60,590.00",1.23,0.0,---,1.02,2.25,0.25414000000000003,0.0035,0.42183000000000004,0.03264807322330757
BIH,Bosnia and Herzegovina,"30,656.20",0.49,0.0,---,1.53,2.01,0.38386,0.008140000000000001,0.32393,0.06546367391862686
BWA,Botswana,"90,628.60",0.35,0.0,---,0.56,0.91,0.55758,0.00278,0.28118000000000004,0.01773181460111654
BRA,Brazil,"6,817,410.00",---,0.0,---,0.53,0.53,0.57006,0.00439,0.26558000000000004,0.02899670065632175
BGR,Bulgaria,"163,822.00",0.51,0.0,---,0.29,0.8,0.39281,0.00141,0.32308000000000003,0.011110318347434417
BFA,Burkina Faso,"24,689.40",---,0.0,---,1.01,1.01,0.60015,0.0057799999999999995,0.40567,0.023740788330250822
KHM,Cambodia,"27,390.50",---,0.0,---,8.85,8.85,0.24475999999999998,0.011729999999999999,0.45929,0.1043447439894323
CMR,Cameroon,"81,683.70",0.12,0.0,---,1.26,1.38,0.16982,0.0018399999999999998,0.41973999999999995,0.02581360310329341
CAN,Canada,"6,291,920.00",0.05,0.02,---,0.33,0.39,0.13862,0.00015,0.33548,0.0032255125068430318
COL,Colombia,"944,577.00",3.32,0.0,0.01,0.63,3.97,0.27694,0.0010199999999999999,0.27978000000000003,0.013164301431466
COG,Congo,"69,047.70",0.01,0.0,---,2.22,2.24,0.15871,0.00387,0.37275,0.0654167586325717
CRI,Costa Rica,"140,412.00",1.68,0.01,0.00,0.28,1.97,0.17915999999999999,0.00031,0.4819,0.003590572611084325
HRV,Croatia,"188,114.00",0.81,0.0,---,0.65,1.47,0.38558000000000003,0.00088,0.23051999999999997,0.009900555490466903
CZE,Czech Republic,"1,007,260.00",0.15,0.0,---,0.33,0.48,0.3901,0.00103,0.2398,0.011010628142438618
COD,Democratic Republic of the Congo,"27,402.00",0.15,0.0,---,2.31,2.46,0.51112,0.02914,0.23706,0.24049629614575915
DNK,Denmark,"1,346,390.00",---,0.0,---,0.01,0.01,0.12555,0.00011,0.23010999999999998,0.0038075049418385453
DOM,Dominican Republic,"202,173.00",1.80,2.72,---,0.43,4.95,0.1314,0.00015,0.37715,0.0030267864547674004
ECU,Ecuador,"282,705.00",4.42,0.0,0.01,0.67,5.1,0.60037,0.00713,0.25747,0.0461258002639546
EGY,Egypt,"617,149.00",0.29,0.0,0.01,0.15,0.45,0.47222,0.00469,0.49278,0.020154656122039365
SLV,El Salvador,"71,580.50",3.50,0.0,---,0.15,3.65,0.32731,0.00253,0.13424,0.05758101334499387
EST,Estonia,"79,617.30",0.01,0.0,---,0.66,0.68,0.12925999999999999,0.00018999999999999998,0.28006,0.005248538229617669
FIN,Finland,"965,383.00",---,0.0,---,---,0.0,0.14215999999999998,0.00033,0.21799000000000002,0.010648782425961985
FRA,France,"10,329,400.00",0.05,0.0,---,0.27,0.32,0.15733,0.00033,0.22345,0.009386896691527103
GAB,Gabon,"120,252.00",0.02,0.0,---,2.47,2.49,0.21539,0.00285,0.32991,0.040107338552457676
GEO,Georgia,"53,823.50",3.10,0.0,---,0.75,3.85,0.15597,0.0013599999999999999,0.36327,0.024003153491947267
DEU,Germany,"15,114,900.00",0.16,0.0,---,0.14,0.29,0.13339,0.00028,0.27302,0.007688476592012895
GRC,Greece,"1,181,280.00",4.33,0.0,---,0.04,4.36,0.175,0.00041,0.23679,0.009894240224912974
GTM,Guatemala,"172,912.00",4.06,0.0,---,0.33,4.39,0.13177,0.00064,0.64756,0.007500382531228441
HND,Honduras,"77,974.80",8.67,0.31,---,1.34,10.33,0.24550999999999998,0.00396,0.36359,0.04436230154394174
HUN,Hungary,"562,480.00",0.22,0.0,---,2.49,2.71,0.3833,0.0014,0.22127,0.01650694409997662
IRL,Ireland,"778,822.00",0.02,0.0,---,0.22,0.23,0.12772999999999998,8e-05,0.31125,0.0020122767748359765
ITA,Italy,"8,604,330.00",1.14,0.0,---,0.06,1.2,0.15,0.00044,0.20461,0.01433621686786244
JAM,Jamaica,"70,711.40",0.69,5.7,---,0.14,6.53,0.26748,0.0003,0.38101,0.0029437001220187246
JOR,Jordan,"121,481.00",0.38,0.0,---,0.01,0.39,0.49346999999999996,0.0004,0.17572000000000002,0.004612942502333376
KEN,Kenya,"98,382.70",0.13,0.0,---,1.09,1.22,0.5162899999999999,0.00607,0.46296000000000004,0.025395192454273838
KGZ,Kyrgyzstan,"18,466.60",3.39,0.0,---,1.63,5.02,0.21425999999999998,0.00367,0.52023,0.03292528711016333
LAO,Lao People's Democratic Republic,"21,925.60",0.23,0.02,---,9.47,9.71,0.14142000000000002,0.013319999999999999,0.2473,0.38086343112316445
LVA,Latvia,"95,608.80",---,0.0,---,1.62,1.62,0.12715,0.0005200000000000001,0.23936999999999997,0.017085089545007804
LBR,Liberia,"1,911.24",0.05,0.0,---,1.43,1.49,0.59982,0.01242,0.47251000000000004,0.043821743166407204
LTU,Lithuania,"135,614.00",---,0.0,---,0.92,0.92,0.1528,0.0007700000000000001,0.31296,0.016101952376363776
MDG,Madagascar,"23,496.40",0.02,8.78,---,2.44,11.25,0.32228,0.014730000000000002,0.29407,0.15542421061984912
MWI,Malawi,"18,357.00",0.45,0.0,---,2.51,2.96,0.3247,0.00655,0.25308,0.07970786665290093
MYS,Malaysia,"1,170,980.00",0.01,0.0,---,0.98,0.99,0.12953,0.00123,0.25059000000000003,0.03789404877568533
MLI,Mali,"27,719.20",---,0.0,---,2.02,2.02,0.15225999999999998,0.00225,0.64384,0.022951905015460895
MEX,Mexico,"4,513,850.00",0.30,0.16,---,0.13,0.58,0.39395,0.00134,0.36826,0.009236536371374438
MNG,Mongolia,"36,587.60",0.10,0.0,---,0.85,0.95,0.12911,0.003,0.20767,0.11188905624217912
NPL,Nepal,"53,996.60",0.55,0.0,---,2.45,2.99,0.34248,0.023969999999999998,0.2702,0.2590284546161399
NLD,Netherlands,"3,410,960.00",0.07,0.0,---,0.20,0.27,0.12822,2.9999999999999997e-05,0.25251999999999997,0.0009265517945047474
NER,Niger,"12,723.50",---,0.0,---,1.68,1.68,0.15523,0.0054600000000000004,0.23359000000000002,0.15057842094240045
NGA,Nigeria,"592,030.00",0.03,0.0,---,1.17,1.21,0.60158,0.00243,0.87364,0.0046236012668128615
PAK,Pakistan,"502,344.00",0.54,0.05,---,1.90,2.49,0.49718,0.01035,0.37672,0.05525963631740096
PAN,Panama,"124,687.00",1.09,0.0,0.01,0.18,1.27,0.59996,0.00108,0.5402399999999999,0.003332074648305445
PRY,Paraguay,"92,568.60",---,0.0,---,0.85,0.85,0.32095,0.00091,0.36827,0.007699059402951565
PER,Peru,"692,345.00",5.30,0.0,0.01,0.44,5.75,0.30079,0.00081,0.2702,0.009966353345024399
PHL,Philippines,"566,949.00",1.24,11.66,0.05,0.89,13.85,0.12264000000000001,0.0020800000000000003,0.27366,0.061975475922789805
POL,Poland,"1,614,720.00",0.12,0.0,---,0.31,0.43,0.1309,8e-05,0.4132,0.001479074424806445
MDA,Republic of Moldova,"33,762.70",0.08,0.0,---,2.51,2.59,0.38683,0.00806,0.2567,0.08116878130643893
ROU,Romania,"555,697.00",0.46,0.0,---,0.81,1.27,0.45131000000000004,0.00207,0.26775,0.01713033710082823
RWA,Rwanda,"13,197.40",0.96,0.0,---,1.70,2.66,0.60555,0.01212,0.71258,0.028087881391106274
SEN,Senegal,"35,335.20",0.02,0.0,---,0.40,0.42,0.61756,0.01069,0.22621,0.07652207657327836
SRB,Serbia,"57,317.20",0.58,0.0,---,2.72,3.31,0.38672,0.00823,0.22011999999999998,0.09668157083761661
SLE,Sierra Leone,"3,031.82",0.03,0.0,---,2.55,2.58,0.60336,0.02245,0.40687,0.09145009508105084
SVK,Slovakia,"414,783.00",0.15,0.0,---,1.01,1.16,0.38755,0.0018899999999999998,0.3059,0.01594243246682276
SVN,Slovenia,"139,900.00",1.14,0.0,---,0.21,1.35,0.3682,0.00253,0.22134,0.031043939714975894
ZAF,South Africa,"1,282,850.00",0.47,0.0,---,0.59,1.06,0.55723,0.00022999999999999998,0.41222,0.0010013001638833202
ESP,Spain,"6,233,960.00",0.01,0.0,---,0.12,0.13,0.11007,0.00027,0.183,0.013404286690883744
LKA,Sri Lanka,"208,274.00",---,0.1,0.01,0.61,0.72,0.60663,0.012029999999999999,0.33796,0.05867815391960498
SWE,Sweden,"1,747,500.00",---,0.0,---,0.04,0.04,0.12825,0.00018999999999999998,0.35736999999999997,0.004145511602768787
SYR,Syrian Arab Republic,"204,643.00",0.73,0.0,---,0.44,1.16,0.40302,0.006509999999999999,0.27075,0.05966036754910399
THA,Thailand,"1,379,000.00",0.02,0.0,---,1.66,1.68,0.25137,0.006379999999999999,0.24034,0.10560419655054386
TUR,Turkey,"1,947,250.00",1.13,0.0,---,0.12,1.25,0.32431,0.0010199999999999999,0.41217,0.00763068372346816
UGA,Uganda,"43,697.10",0.51,0.0,---,0.65,1.16,0.27334,0.0007599999999999999,0.57357,0.004847568718301771
UKR,Ukraine,"676,834.00",0.01,0.0,---,1.50,1.52,0.40802,0.00643,0.24585,0.06410018881443331
GBR,United Kingdom of Great Britain and Northern Ireland,"7,806,800.00",0.11,0.0,---,0.09,0.2,0.12816,5.9999999999999995e-05,0.30313,0.0015444357008791297
TZA,United Republic of Tanzania,"50,142.80",0.52,0.0,---,0.76,1.28,0.32628,0.00599,0.4132,0.044429973673720036
USA,United States of America,"54,922,500.00",0.26,0.52,---,0.11,0.89,0.13499,2.9999999999999997e-05,0.31874,0.0006972412761090187
URY,Uruguay,"116,460.00",---,0.0,---,0.20,0.2,0.32549,0.00037,0.29189,0.003894438565005865
VNM,Viet Nam,"487,574.00",0.01,0.16,---,4.62,4.78,0.12542,0.00436,0.2697,0.1288957940770254
YEM,Yemen,"79,113.60",0.58,0.0,---,0.58,1.16,0.13,0.0013,0.21913000000000002,0.04563501118057773
ZMB,Zambia,"48,954.50",0.36,0.0,---,0.70,1.06,0.32771999999999996,0.00139,0.42575,0.009962244526660436
